is_foggy,is_weekend,is_holiday,distance_from_origin,fraction_of_journey_completed,station_density_last_3_stops,delay_trend_last_2_stops,historical_avg_delay_for_this_train,congestion_index,preceding_train_delay,station_seq,hour_of_scheduled_arrival,delay_at_previous_station,train_type_EXP,train_type_SF,day_of_week_Mon,day_of_week_Tue,weather_Clear,weather_Rain,season_Monsoon,season_Winter,delay_minutes
0.0,1.0,0.0,0.0,0.0,1,-2.242903980234347,11.271549508817623,0.48169778738324087,21.184664377768755,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13.587324620316659
0.0,1.0,1.0,17.0,0.03313840155945419,2,9.355695019344981,20.162283026927135,0.9309248085101074,6.8371616120374465,2,1,6.920637490730832,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22.082267719151215
0.0,0.0,1.0,54.0,0.10526315789473684,3,-0.5106963912055484,27.04985024020517,0.48244898002056824,0.9897030500566333,3,2,7.251998920242828,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,12.089307699052048
0.0,0.0,1.0,131.0,0.2553606237816764,4,0.6107865370697714,17.018017684952383,0.3319381419867879,7.9215002407675135,4,3,16.239638852121082,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,18.893850682084352
0.0,1.0,1.0,235.0,0.4580896686159844,5,0.992513940359727,26.604188119384578,0.8820479195743085,17.20173157820978,5,5,11.608786607680702,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,34.46928866948949
1.0,0.0,0.0,264.0,0.5146198830409356,5,2.353377418786355,27.971196053075076,0.16839819471308862,30.088234262215437,6,5,5.792184554236368,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5667535004421
0.0,0.0,1.0,340.0,0.6627680311890838,5,0.3904921833288071,28.526064872885385,0.7433080189480754,13.10633014220079,7,6,9.595789865481958,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,24.429977155885048
0.0,1.0,0.0,464.0,0.9044834307992202,5,1.7343087094686114,14.764623576264139,0.3099755073392152,21.89494622581659,8,9,19.07912441740048,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,21.853563642823428
0.0,0.0,0.0,492.0,0.9590643274853801,5,5.528771352684465,18.906390087064615,0.7018408967871089,16.62190120522405,9,9,6.636734252467038,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,33.709462060348905
0.0,0.0,0.0,513.0,1.0,5,3.7710387839842263,5.5388926087139225,0.21792073556314873,2.413281881843254,10,10,0.32683914188174823,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,1,11.440728058902044,23.897231866158304,0.14093213985401382,49.74895822218117,1,14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,44.31279619884624
0.0,0.0,0.0,8.0,0.041884816753926704,2,1.8577047152856636,27.270968124290192,0.6784170306028497,0.6972344633365105,2,14,54.081458849924765,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,56.913843356243525
0.0,0.0,0.0,33.0,0.17277486910994763,3,-2.2018263992272473,11.103855859083641,0.4208305927251499,3.8414799136910887,3,15,7.264754678800235,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,15.543821116975964
0.0,1.0,0.0,53.0,0.2774869109947644,4,1.98188676870401,29.71951525941308,0.9409813691673362,17.29691545750895,4,15,22.44701025925012,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,39.31356633778063
0.0,0.0,0.0,99.0,0.518324607329843,5,-2.958096655556462,7.079300112032029,0.5772135162541595,1.7264489993397558,5,16,1.9776164426005396,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,22.296203656480618
0.0,0.0,0.0,123.0,0.643979057591623,5,4.955511888938357,12.209356019844847,0.14629740924658136,10.07164341956048,6,16,10.688588325808151,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,7.928806918367098
1.0,1.0,0.0,127.0,0.6649214659685864,5,0.8033728339995361,22.683568265460874,0.2199931771341911,11.952834640373412,7,17,35.646172793246066,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,51.99717849908019
1.0,0.0,0.0,175.0,0.9162303664921466,5,2.671652906630067,19.85788383179085,0.8639383574398645,13.956972125177298,8,17,8.91970261261556,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,58.51955299165065
0.0,0.0,0.0,177.0,0.9267015706806283,5,-4.285133170378315,29.418405384378612,0.1601225037630431,2.1015416409116305,9,17,24.40236335181305,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,23.944381779105797
0.0,1.0,0.0,185.0,0.9685863874345549,5,-2.83781139288034,24.487490855623886,0.5582449577949007,2.7899954668229903,10,18,10.60909221029187,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,20.431668069727664
0.0,1.0,0.0,189.0,0.9895287958115183,5,-4.886214914404542,11.957862842559553,0.11477330218842224,1.588061931022564,11,18,25.245491185521782,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.945034232914562
0.0,1.0,0.0,191.0,1.0,5,4.661597030720252,19.28877302473266,0.7103140617970065,2.254129747341545,12,18,14.59776378406745,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,38.685743826196415
